
time,gFx,gFy,gFz,wx,wy,wz,
0.021,-0.17,0.98,-0.24,0.04,-0.01,-0.03,
0.021,-0.18,0.98,-0.24,0.04,-0.01,-0.03,
0.021,-0.17,0.98,-0.23,0.04,-0.01,-0.03,
0.021,-0.17,0.98,-0.23,0.04,-0.01,-0.03,
0.021,-0.17,0.98,-0.23,0.05,-0.02,-0.03,
0.021,-0.17,0.98,-0.23,0.06,-0.02,-0.04,
0.022,-0.17,0.97,-0.24,0.06,-0.02,-0.04,
0.023,-0.17,0.97,-0.24,0.06,-0.02,-0.03,
0.025,-0.17,0.98,-0.25,0.06,-0.02,-0.03,
0.025,-0.17,0.98,-0.25,0.06,-0.02,-0.03,
0.026,-0.17,0.98,-0.25,0.06,-0.02,-0.03,
0.026,-0.17,0.98,-0.25,0.07,-0.03,-0.04,
0.028,-0.18,0.98,-0.25,0.07,-0.03,-0.04,
0.029,-0.18,0.98,-0.25,0.07,-0.03,-0.04,
0.034,-0.18,0.98,-0.26,0.07,-0.03,-0.04,
0.04,-0.18,0.98,-0.26,0.07,-0.03,-0.04,
0.04,-0.18,0.98,-0.25,0.07,-0.03,-0.04,
0.04,-0.18,0.98,-0.25,0.07,-0.03,-0.04,
0.04,-0.18,0.98,-0.25,0.07,-0.03,-0.04,
0.04,-0.18,0.98,-0.25,0.07,-0.04,-0.04,
0.041,-0.17,0.98,-0.27,0.07,-0.04,-0.04,
0.042,-0.17,0.98,-0.27,0.07,-0.04,-0.04,
0.042,-0.17,0.98,-0.27,0.08,-0.05,-0.04,
0.042,-0.17,0.98,-0.27,0.07,-0.05,-0.04,
0.042,-0.17,0.98,-0.27,0.07,-0.05,-0.04,
0.042,-0.18,0.97,-0.27,0.07,-0.05,-0.04,
0.043,-0.18,0.97,-0.28,0.07,-0.05,-0.04,
0.044,-0.18,0.97,-0.28,0.06,-0.06,-0.04,
0.045,-0.18,0.97,-0.29,0.06,-0.06,-0.04,
0.045,-0.18,0.97,-0.29,0.05,-0.07,-0.04,
0.047,-0.18,0.97,-0.29,0.05,-0.07,-0.04,
0.047,-0.18,0.97,-0.29,0.04,-0.07,-0.04,
0.05,-0.19,0.97,-0.29,0.04,-0.07,-0.04,
0.05,-0.19,0.97,-0.29,0.04,-0.07,-0.03,
0.056,-0.19,0.97,-0.29,0.04,-0.07,-0.03,
0.057,-0.19,0.97,-0.29,0.04,-0.07,-0.03,
0.057,-0.19,0.97,-0.28,0.04,-0.07,-0.03,
0.057,-0.19,0.97,-0.28,0.03,-0.08,-0.03,
0.057,-0.19,0.97,-0.28,0.03,-0.08,-0.03,
0.058,-0.19,0.97,-0.28,0.02,-0.09,-0.03,
0.058,-0.19,0.97,-0.28,0.01,-0.09,-0.02,
0.058,-0.19,0.97,-0.29,0.01,-0.09,-0.02,
0.059,-0.19,0.98,-0.28,0.01,-0.09,-0.02,
0.059,-0.19,0.98,-0.28,0.00,-0.09,-0.02,
0.061,-0.19,0.97,-0.28,0.00,-0.09,-0.02,
0.061,-0.19,0.97,-0.28,-0.01,-0.09,-0.02,
0.063,-0.19,0.98,-0.27,-0.01,-0.09,-0.02,
0.063,-0.19,0.98,-0.27,-0.01,-0.09,-0.01,
0.084,-0.19,0.98,-0.28,-0.01,-0.09,-0.01,
0.085,-0.19,0.98,-0.28,-0.03,-0.08,-0.01,
0.085,-0.19,0.98,-0.29,-0.03,-0.08,-0.01,
0.085,-0.19,0.98,-0.28,-0.03,-0.08,-0.01,
0.085,-0.19,0.98,-0.28,-0.04,-0.08,-0.00,
0.086,-0.19,0.98,-0.28,-0.04,-0.08,0.00,
0.086,-0.19,0.98,-0.28,-0.05,-0.07,0.00,
0.086,-0.19,0.97,-0.29,-0.05,-0.07,0.00,
0.086,-0.19,0.97,-0.29,-0.05,-0.07,0.00,
0.087,-0.19,0.97,-0.29,-0.06,-0.07,0.00,
0.087,-0.19,0.98,-0.29,-0.06,-0.07,0.00,
0.087,-0.19,0.98,-0.29,-0.07,-0.08,0.01,
0.087,-0.19,0.98,-0.29,-0.07,-0.08,0.01,
0.087,-0.19,0.98,-0.29,-0.07,-0.08,0.01,
0.087,-0.19,0.98,-0.29,-0.08,-0.08,0.02,
0.088,-0.19,0.98,-0.29,-0.08,-0.08,0.02,
0.088,-0.19,0.98,-0.28,-0.08,-0.08,0.02,
0.088,-0.19,0.98,-0.28,-0.09,-0.09,0.02,
0.088,-0.19,0.98,-0.28,-0.09,-0.09,0.02,
0.088,-0.19,0.98,-0.28,-0.08,-0.09,0.02,
0.089,-0.19,0.98,-0.27,-0.08,-0.09,0.02,
0.089,-0.19,0.98,-0.27,-0.08,-0.09,0.02,
0.089,-0.19,0.98,-0.27,-0.08,-0.09,0.02,
0.089,-0.19,0.98,-0.27,-0.08,-0.10,0.03,
0.09,-0.19,0.98,-0.26,-0.08,-0.10,0.03,
0.09,-0.19,0.98,-0.26,-0.08,-0.09,0.03,
0.092,-0.19,0.98,-0.26,-0.08,-0.09,0.03,
0.092,-0.19,0.98,-0.26,-0.08,-0.10,0.03,
0.098,-0.19,0.97,-0.26,-0.08,-0.10,0.03,
0.098,-0.19,0.97,-0.26,-0.07,-0.10,0.03,
0.098,-0.19,0.97,-0.26,-0.07,-0.10,0.03,
0.098,-0.18,0.97,-0.26,-0.07,-0.10,0.03,
0.099,-0.18,0.98,-0.27,-0.07,-0.10,0.03,
0.099,-0.18,0.98,-0.27,-0.07,-0.10,0.03,
0.102,-0.17,0.98,-0.28,-0.07,-0.10,0.03,
0.102,-0.17,0.98,-0.28,-0.06,-0.09,0.03,
0.102,-0.17,0.98,-0.28,-0.06,-0.09,0.03,
0.102,-0.17,0.98,-0.28,-0.06,-0.08,0.03,
0.103,-0.17,0.98,-0.28,-0.06,-0.08,0.03,
0.104,-0.17,0.98,-0.28,-0.06,-0.08,0.03,
0.106,-0.18,0.98,-0.29,-0.06,-0.08,0.03,
0.106,-0.18,0.98,-0.29,-0.06,-0.06,0.03,
0.112,-0.18,0.98,-0.29,-0.06,-0.06,0.03,
0.113,-0.18,0.98,-0.29,-0.06,-0.05,0.03,
0.113,-0.18,0.99,-0.29,-0.06,-0.05,0.03,
0.114,-0.18,0.98,-0.29,-0.06,-0.05,0.03,
0.114,-0.19,0.98,-0.30,-0.06,-0.05,0.03,
0.114,-0.19,0.98,-0.30,-0.07,-0.05,0.03,
0.114,-0.19,0.98,-0.30,-0.07,-0.04,0.03,
0.115,-0.19,0.98,-0.30,-0.08,-0.03,0.03,
0.115,-0.19,0.98,-0.30,-0.09,-0.03,0.03,
0.115,-0.19,0.98,-0.29,-0.09,-0.03,0.03,
0.12,-0.19,0.98,-0.29,-0.09,-0.03,0.03,
0.12,-0.19,0.98,-0.29,-0.09,-0.03,0.04,
0.12,-0.19,0.98,-0.29,-0.09,-0.03,0.04,
0.12,-0.19,0.98,-0.29,-0.09,-0.04,0.03,
0.121,-0.19,0.98,-0.28,-0.09,-0.04,0.03,
0.121,-0.19,0.98,-0.28,-0.10,-0.04,0.03,
0.127,-0.19,0.98,-0.27,-0.10,-0.04,0.03,
0.127,-0.19,0.98,-0.27,-0.10,-0.05,0.04,
0.127,-0.19,0.98,-0.27,-0.10,-0.05,0.04,
0.128,-0.19,0.98,-0.27,-0.11,-0.05,0.04,
0.128,-0.18,0.98,-0.27,-0.11,-0.05,0.04,
0.128,-0.18,0.98,-0.27,-0.11,-0.05,0.03,
0.13,-0.18,0.98,-0.27,-0.11,-0.06,0.03,
0.13,-0.18,0.98,-0.26,-0.11,-0.06,0.03,
0.132,-0.18,0.98,-0.26,-0.12,-0.05,0.03,
0.133,-0.17,0.98,-0.26,-0.12,-0.05,0.03,
0.143,-0.17,0.98,-0.26,-0.12,-0.05,0.03,
0.143,-0.17,0.98,-0.26,-0.12,-0.05,0.03,
0.144,-0.17,0.98,-0.25,-0.12,-0.05,0.03,
0.144,-0.17,0.98,-0.25,-0.12,-0.05,0.03,
0.144,-0.17,0.98,-0.25,-0.12,-0.05,0.02,
0.144,-0.17,0.98,-0.25,-0.12,-0.05,0.02,
0.145,-0.17,0.98,-0.25,-0.12,-0.05,0.02,
0.145,-0.18,0.98,-0.25,-0.12,-0.05,0.02,
0.145,-0.18,0.98,-0.25,-0.12,-0.05,0.02,
0.145,-0.18,0.98,-0.25,-0.12,-0.05,0.03,
0.145,-0.18,0.98,-0.25,-0.12,-0.05,0.02,
0.146,-0.18,0.98,-0.25,-0.12,-0.05,0.02,
0.146,-0.19,0.97,-0.25,-0.12,-0.05,0.02,
0.146,-0.19,0.97,-0.25,-0.12,-0.06,0.03,
0.147,-0.19,0.97,-0.25,-0.12,-0.06,0.03,
0.148,-0.19,0.97,-0.25,-0.12,-0.06,0.03,
0.15,-0.19,0.97,-0.25,-0.12,-0.06,0.03,
0.15,-0.19,0.97,-0.25,-0.12,-0.07,0.03,
0.152,-0.18,0.98,-0.25,-0.12,-0.07,0.03,
0.152,-0.18,0.98,-0.25,-0.12,-0.08,0.03,
0.157,-0.18,0.98,-0.25,-0.12,-0.09,0.02,
0.158,-0.18,0.98,-0.24,-0.12,-0.09,0.02,
0.158,-0.18,0.98,-0.23,-0.12,-0.09,0.02,
0.158,-0.18,0.98,-0.23,-0.11,-0.09,0.02,
0.158,-0.18,0.98,-0.23,-0.11,-0.10,0.02,
0.159,-0.18,0.98,-0.24,-0.11,-0.10,0.02,
0.161,-0.18,0.98,-0.24,-0.11,-0.10,0.02,
0.161,-0.18,0.98,-0.24,-0.10,-0.10,0.02,
0.162,-0.18,0.98,-0.23,-0.10,-0.10,0.02,
0.162,-0.18,0.98,-0.23,-0.10,-0.10,0.02,
0.164,-0.18,0.98,-0.23,-0.09,-0.10,0.02,
0.164,-0.18,0.98,-0.22,-0.09,-0.10,0.02,
0.19,-0.18,0.98,-0.21,-0.09,-0.10,0.02,
0.19,-0.18,0.98,-0.21,-0.08,-0.10,0.02,
0.19,-0.17,0.98,-0.21,-0.08,-0.10,0.02,
0.191,-0.17,0.98,-0.21,-0.07,-0.09,0.02,
0.191,-0.17,0.98,-0.21,-0.07,-0.09,0.02,
0.191,-0.17,0.98,-0.22,-0.07,-0.09,0.02,
0.191,-0.17,0.98,-0.22,-0.07,-0.09,0.02,
0.192,-0.17,0.98,-0.22,-0.06,-0.08,0.02,
0.192,-0.17,0.98,-0.22,-0.06,-0.07,0.02,
0.192,-0.17,0.98,-0.22,-0.06,-0.06,0.02,
0.192,-0.17,0.98,-0.22,-0.06,-0.06,0.02,
0.193,-0.17,0.98,-0.24,-0.06,-0.06,0.02,
0.193,-0.17,0.98,-0.24,-0.06,-0.05,0.02,
0.193,-0.17,0.98,-0.24,-0.06,-0.05,0.02,
0.193,-0.17,0.98,-0.26,-0.06,-0.05,0.02,
0.194,-0.17,0.98,-0.26,-0.06,-0.05,0.02,
0.194,-0.17,0.98,-0.27,-0.06,-0.05,0.02,
0.194,-0.17,0.98,-0.27,-0.06,-0.03,0.02,
0.194,-0.17,0.98,-0.27,-0.06,-0.03,0.02,
0.195,-0.17,0.98,-0.27,-0.07,-0.03,0.02,
0.195,-0.17,0.98,-0.26,-0.07,-0.03,0.02,
0.195,-0.17,0.98,-0.26,-0.07,-0.02,0.03,
0.195,-0.18,0.98,-0.26,-0.07,-0.02,0.03,
0.196,-0.18,0.98,-0.26,-0.07,-0.02,0.03,
0.196,-0.18,0.98,-0.26,-0.07,-0.02,0.03,
0.196,-0.18,0.98,-0.26,-0.07,-0.02,0.03,
0.196,-0.18,0.98,-0.25,-0.07,-0.02,0.03,
0.197,-0.18,0.98,-0.25,-0.08,-0.03,0.03,
0.197,-0.18,0.98,-0.25,-0.08,-0.03,0.03,
0.197,-0.18,0.98,-0.25,-0.08,-0.04,0.04,
0.197,-0.18,0.98,-0.25,-0.08,-0.04,0.04,
0.198,-0.18,0.98,-0.25,-0.08,-0.04,0.04,
0.198,-0.18,0.98,-0.24,-0.08,-0.04,0.04,
0.198,-0.18,0.98,-0.24,-0.08,-0.05,0.04,
0.201,-0.18,0.98,-0.25,-0.08,-0.05,0.04,
0.201,-0.18,0.98,-0.25,-0.08,-0.06,0.04,
0.207,-0.18,0.98,-0.25,-0.07,-0.06,0.04,
0.208,-0.18,0.98,-0.24,-0.07,-0.06,0.04,
0.208,-0.18,0.98,-0.24,-0.07,-0.06,0.04,
0.208,-0.17,0.98,-0.24,-0.07,-0.06,0.04,
0.208,-0.17,0.98,-0.24,-0.07,-0.06,0.04,
0.208,-0.17,0.98,-0.24,-0.06,-0.06,0.04,
0.209,-0.17,0.98,-0.24,-0.05,-0.06,0.04,
0.209,-0.17,0.98,-0.24,-0.05,-0.06,0.04,
0.209,-0.17,0.98,-0.24,-0.05,-0.06,0.04,
0.209,-0.17,0.98,-0.24,-0.05,-0.05,0.03,
0.211,-0.18,0.98,-0.24,-0.05,-0.05,0.03,
0.211,-0.18,0.98,-0.24,-0.03,-0.05,0.03,
0.213,-0.18,0.98,-0.26,-0.03,-0.05,0.03,
0.213,-0.18,0.98,-0.26,-0.03,-0.04,0.03,
0.215,-0.18,0.98,-0.25,-0.03,-0.04,0.03,
0.215,-0.18,0.98,-0.25,-0.02,-0.04,0.02,
0.22,-0.19,0.97,-0.25,-0.02,-0.04,0.02,
0.22,-0.19,0.97,-0.25,-0.02,-0.03,0.03,
0.221,-0.19,0.97,-0.25,-0.02,-0.03,0.02,
0.221,-0.19,0.97,-0.25,-0.02,-0.03,0.02,
0.221,-0.19,0.97,-0.25,-0.02,-0.03,0.02,
0.222,-0.19,0.97,-0.25,-0.00,-0.02,0.03,
0.228,-0.18,0.97,-0.24,-0.00,-0.02,0.03,
0.228,-0.17,0.98,-0.23,-0.00,-0.02,0.03,
0.228,-0.17,0.98,-0.23,0.00,-0.03,0.03,
0.228,-0.17,0.98,-0.23,0.01,-0.03,0.02,
0.228,-0.17,0.98,-0.23,0.01,-0.03,0.02,
0.229,-0.17,0.98,-0.23,0.02,-0.03,0.02,
0.23,-0.16,0.98,-0.24,0.02,-0.03,0.02,
0.23,-0.16,0.98,-0.24,0.02,-0.03,0.02,
0.236,-0.16,0.98,-0.24,0.02,-0.03,0.02,
0.236,-0.16,0.98,-0.24,0.01,-0.03,0.01,
0.237,-0.16,0.98,-0.26,0.01,-0.03,0.01,
0.237,-0.16,0.98,-0.25,0.01,-0.03,0.01,
0.237,-0.16,0.98,-0.26,0.01,-0.03,0.01,
0.238,-0.16,0.98,-0.26,0.02,-0.03,0.02,
0.238,-0.16,0.98,-0.26,0.02,-0.03,0.01,
0.238,-0.16,0.98,-0.26,0.01,-0.03,0.00,
0.238,-0.16,0.98,-0.26,0.01,-0.03,0.00,
0.238,-0.16,0.98,-0.26,0.01,-0.03,0.00,
0.242,-0.17,0.98,-0.25,0.01,-0.03,0.00,
0.242,-0.17,0.98,-0.25,0.01,-0.02,0.00,
0.242,-0.17,0.98,-0.26,0.01,-0.02,0.00,
0.243,-0.17,0.98,-0.26,-0.00,-0.02,0.00,
0.245,-0.17,0.98,-0.25,-0.00,-0.02,0.00,
0.245,-0.17,0.98,-0.25,-0.00,-0.02,0.00,
0.259,-0.17,0.98,-0.25,-0.00,-0.02,0.00,
0.259,-0.17,0.98,-0.25,-0.01,-0.02,0.01,
0.259,-0.17,0.98,-0.25,-0.01,-0.02,0.01,
0.259,-0.17,0.98,-0.25,-0.01,-0.02,0.01,
0.26,-0.17,0.98,-0.25,-0.01,-0.02,-0.00,
0.26,-0.17,0.98,-0.24,-0.01,-0.02,-0.00,
0.26,-0.17,0.98,-0.24,-0.01,-0.02,-0.00,
0.26,-0.17,0.98,-0.24,-0.01,-0.02,0.01,
0.26,-0.17,0.98,-0.24,-0.01,-0.02,0.01,
0.261,-0.17,0.98,-0.24,-0.01,-0.02,0.00,
0.261,-0.17,0.98,-0.23,-0.01,-0.02,0.00,
0.261,-0.17,0.98,-0.23,-0.01,-0.03,0.00,
0.261,-0.17,0.97,-0.24,-0.01,-0.03,0.00,
0.261,-0.17,0.97,-0.24,-0.02,-0.03,0.00,
0.267,-0.17,0.98,-0.24,-0.02,-0.03,0.00,
0.267,-0.17,0.98,-0.24,-0.01,-0.03,0.01,
0.267,-0.17,0.98,-0.25,-0.01,-0.03,0.01,
0.27,-0.18,0.98,-0.26,-0.01,-0.03,0.01,
0.294,-0.18,0.98,-0.26,-0.01,-0.03,0.01,
0.294,-0.18,0.98,-0.26,-0.02,-0.03,0.00,
0.294,-0.18,0.98,-0.27,-0.02,-0.03,0.00,
0.295,-0.18,0.98,-0.27,-0.02,-0.03,0.00,
0.295,-0.18,0.98,-0.27,-0.02,-0.03,0.00,
0.295,-0.18,0.98,-0.27,-0.03,-0.03,0.01,
0.295,-0.18,0.98,-0.26,-0.03,-0.03,0.01,
0.295,-0.18,0.98,-0.26,-0.02,-0.02,0.01,
0.295,-0.18,0.98,-0.26,-0.03,-0.03,0.01,
0.295,-0.18,0.98,-0.26,-0.03,-0.03,0.01,
0.296,-0.18,0.98,-0.26,-0.03,-0.03,0.01,
0.296,-0.18,0.98,-0.26,-0.03,-0.02,0.02,
0.296,-0.18,0.98,-0.26,-0.03,-0.02,0.02,
0.296,-0.18,0.98,-0.26,-0.03,-0.02,0.02,
0.296,-0.18,0.98,-0.26,-0.03,-0.02,0.02,
0.296,-0.18,0.98,-0.26,-0.03,-0.02,0.01,
0.297,-0.18,0.98,-0.26,-0.03,-0.02,0.02,
0.297,-0.18,0.98,-0.26,-0.03,-0.02,0.02,
0.297,-0.18,0.98,-0.26,-0.03,-0.02,0.02,
0.297,-0.18,0.98,-0.26,-0.03,-0.01,0.02,
0.297,-0.18,0.98,-0.25,-0.03,-0.01,0.02,
0.297,-0.18,0.98,-0.25,-0.03,-0.01,0.02,
0.297,-0.19,0.98,-0.25,-0.03,-0.01,0.02,
0.298,-0.19,0.98,-0.25,-0.04,-0.01,0.02,
0.298,-0.19,0.98,-0.25,-0.04,-0.01,0.02,
0.298,-0.19,0.98,-0.25,-0.04,-0.01,0.02,
0.298,-0.18,0.99,-0.24,-0.04,-0.01,0.02,
0.298,-0.18,0.99,-0.24,-0.04,-0.01,0.02,
0.298,-0.18,0.99,-0.24,-0.04,-0.01,0.02,
0.298,-0.18,0.99,-0.24,-0.03,-0.00,0.02,
0.299,-0.17,0.99,-0.24,-0.03,-0.00,0.02,
0.299,-0.17,0.99,-0.24,-0.03,0.00,0.02,
0.299,-0.17,0.99,-0.25,-0.03,0.00,0.02,
0.299,-0.17,0.99,-0.25,-0.04,0.00,0.02,
0.301,-0.17,0.99,-0.26,-0.04,0.00,0.02,
0.301,-0.17,0.99,-0.26,-0.05,0.00,0.02,
0.302,-0.17,0.99,-0.26,-0.05,0.00,0.02,
0.302,-0.17,0.99,-0.26,-0.05,0.00,0.02,
0.304,-0.17,0.99,-0.26,-0.05,0.00,0.02,
0.304,-0.17,0.99,-0.26,-0.06,0.00,0.03,
0.306,-0.17,0.99,-0.27,-0.06,0.00,0.03,
0.306,-0.17,0.99,-0.27,-0.06,-0.00,0.03,
0.312,-0.16,0.99,-0.27,-0.06,-0.00,0.03,
0.312,-0.16,0.99,-0.27,-0.08,-0.01,0.03,
0.313,-0.16,0.99,-0.27,-0.08,-0.01,0.03,
0.313,-0.17,0.98,-0.27,-0.08,-0.01,0.03,
0.313,-0.17,0.98,-0.27,-0.09,-0.01,0.03,
0.313,-0.17,0.98,-0.27,-0.11,-0.02,0.03,
0.313,-0.17,0.98,-0.27,-0.12,-0.02,0.03,
0.314,-0.17,0.98,-0.27,-0.12,-0.02,0.03,
0.317,-0.17,0.98,-0.27,-0.12,-0.02,0.03,
0.317,-0.17,0.98,-0.27,-0.14,-0.02,0.03,
0.317,-0.17,0.98,-0.27,-0.14,-0.02,0.03,
0.317,-0.17,0.98,-0.27,-0.14,-0.02,0.04,
0.319,-0.17,0.98,-0.26,-0.14,-0.02,0.04,
0.319,-0.17,0.98,-0.26,-0.15,-0.02,0.04,
0.322,-0.17,0.98,-0.25,-0.15,-0.02,0.04,
0.322,-0.17,0.98,-0.25,-0.15,-0.02,0.04,
0.323,-0.17,0.98,-0.25,-0.15,-0.02,0.04,
0.324,-0.17,0.98,-0.25,-0.17,-0.01,0.04,
0.326,-0.17,0.98,-0.25,-0.17,-0.01,0.04,
0.326,-0.17,0.98,-0.25,-0.16,-0.01,0.04,
0.332,-0.17,0.98,-0.25,-0.16,-0.01,0.04,
0.332,-0.17,0.98,-0.25,-0.16,-0.01,0.04,
0.333,-0.17,0.98,-0.25,-0.16,-0.00,0.04,
0.333,-0.17,0.98,-0.25,-0.16,-0.00,0.04,
0.334,-0.17,0.98,-0.25,-0.16,-0.00,0.04,
0.334,-0.17,0.98,-0.25,-0.16,0.00,0.04,
0.336,-0.17,0.98,-0.25,-0.16,0.00,0.04,
0.336,-0.17,0.98,-0.25,-0.16,0.01,0.04,
0.336,-0.17,0.98,-0.25,-0.16,0.01,0.04,
0.336,-0.17,0.98,-0.25,-0.17,0.02,0.04,
0.339,-0.17,0.97,-0.26,-0.17,0.02,0.04,
0.339,-0.17,0.97,-0.26,-0.17,0.02,0.04,
0.341,-0.17,0.97,-0.25,-0.17,0.02,0.04,
0.341,-0.17,0.97,-0.25,-0.17,0.03,0.04,
0.347,-0.17,0.97,-0.24,-0.17,0.03,0.04,
0.347,-0.17,0.97,-0.24,-0.17,0.04,0.04,
0.348,-0.16,0.97,-0.23,-0.17,0.04,0.04,
0.348,-0.16,0.97,-0.22,-0.17,0.04,0.04,
0.348,-0.16,0.98,-0.22,-0.17,0.04,0.04,
0.349,-0.16,0.98,-0.22,-0.16,0.06,0.04,
0.35,-0.16,0.98,-0.22,-0.16,0.06,0.04,
0.35,-0.16,0.98,-0.22,-0.16,0.07,0.03,
0.35,-0.16,0.98,-0.21,-0.16,0.07,0.03,
0.35,-0.16,0.98,-0.21,-0.16,0.07,0.03,
0.352,-0.16,0.98,-0.21,-0.16,0.07,0.03,
0.353,-0.16,0.98,-0.21,-0.15,0.08,0.03,
0.354,-0.16,0.98,-0.21,-0.15,0.08,0.03,
0.354,-0.16,0.98,-0.21,-0.14,0.07,0.02,
0.356,-0.16,0.98,-0.20,-0.14,0.07,0.02,
0.356,-0.16,0.98,-0.20,-0.13,0.08,0.02,
0.362,-0.17,0.98,-0.20,-0.13,0.08,0.02,
0.363,-0.17,0.98,-0.20,-0.13,0.08,0.02,
0.363,-0.17,0.98,-0.20,-0.12,0.08,0.01,
0.363,-0.17,0.97,-0.21,-0.12,0.08,0.01,
0.363,-0.17,0.98,-0.21,-0.12,0.08,0.01,
0.363,-0.17,0.98,-0.21,-0.11,0.08,0.01,
0.365,-0.17,0.98,-0.23,-0.11,0.08,0.01,
0.365,-0.17,0.98,-0.23,-0.10,0.08,0.01,
0.388,-0.17,0.98,-0.22,-0.10,0.08,0.01,
0.388,-0.17,0.98,-0.22,-0.09,0.08,0.00,
0.388,-0.18,0.98,-0.23,-0.09,0.08,0.00,
0.389,-0.18,0.98,-0.23,-0.09,0.08,0.00,
0.389,-0.18,0.98,-0.23,-0.08,0.08,0.01,
0.39,-0.18,0.98,-0.22,-0.08,0.08,0.01,
0.39,-0.17,0.98,-0.22,-0.08,0.08,0.01,
0.39,-0.17,0.98,-0.22,-0.07,0.08,0.00,
0.39,-0.17,0.98,-0.21,-0.07,0.08,0.00,
0.39,-0.17,0.98,-0.20,-0.07,0.08,0.00,
0.39,-0.17,0.98,-0.20,-0.06,0.07,-0.00,
0.391,-0.17,0.98,-0.20,-0.05,0.07,0.00,
0.391,-0.17,0.98,-0.20,-0.04,0.07,0.00,
0.391,-0.16,0.98,-0.20,-0.04,0.07,0.00,
0.391,-0.16,0.98,-0.21,-0.04,0.07,0.00,
0.391,-0.16,0.98,-0.21,-0.03,0.06,-0.00,
0.391,-0.16,0.98,-0.21,-0.03,0.06,-0.00,
0.392,-0.16,0.98,-0.21,-0.02,0.05,-0.00,
0.392,-0.17,0.98,-0.22,-0.02,0.05,-0.00,
0.392,-0.17,0.98,-0.22,-0.01,0.05,-0.01,
0.392,-0.17,0.98,-0.23,-0.01,0.05,-0.01,
0.392,-0.17,0.98,-0.23,-0.01,0.04,-0.01,
0.392,-0.17,0.98,-0.23,-0.01,0.04,-0.01,
0.392,-0.18,0.97,-0.23,-0.01,0.04,-0.01,
