
time,gFx,gFy,gFz,wx,wy,wz,
0.032,0.26,0.97,-0.20,-0.04,-0.04,-0.00,
0.035,0.26,0.97,-0.20,-0.04,-0.04,-0.00,
0.035,0.26,0.97,-0.20,-0.04,-0.03,0.00,
0.037,0.26,0.97,-0.19,-0.04,-0.03,0.00,
0.037,0.26,0.97,-0.19,-0.04,-0.03,-0.00,
0.039,0.25,0.97,-0.19,-0.04,-0.03,-0.00,
0.039,0.25,0.97,-0.19,-0.03,-0.02,0.00,
0.046,0.25,0.97,-0.19,-0.03,-0.02,0.00,
0.046,0.25,0.97,-0.19,-0.03,-0.02,0.00,
0.046,0.25,0.97,-0.19,-0.02,-0.01,0.00,
0.049,0.25,0.97,-0.19,-0.02,-0.01,0.01,
0.049,0.25,0.97,-0.19,-0.02,-0.00,0.00,
0.049,0.26,0.98,-0.19,-0.02,-0.00,0.00,
0.049,0.25,0.97,-0.19,-0.02,-0.00,0.00,
0.049,0.26,0.97,-0.19,-0.02,-0.00,0.00,
0.05,0.26,0.97,-0.20,-0.02,-0.00,0.00,
0.05,0.26,0.97,-0.20,-0.01,0.01,0.00,
0.053,0.26,0.97,-0.20,-0.01,0.01,0.00,
0.053,0.26,0.97,-0.20,-0.01,0.01,0.01,
0.053,0.26,0.96,-0.21,-0.01,0.01,0.01,
0.053,0.26,0.96,-0.21,-0.01,0.02,0.01,
0.055,0.26,0.96,-0.20,-0.01,0.02,0.01,
0.055,0.26,0.96,-0.20,-0.01,0.02,0.01,
0.057,0.26,0.97,-0.21,-0.01,0.02,0.01,
0.057,0.26,0.97,-0.21,-0.01,0.03,0.01,
0.059,0.27,0.96,-0.21,-0.01,0.03,0.01,
0.059,0.27,0.96,-0.21,-0.01,0.03,0.01,
0.062,0.27,0.96,-0.21,-0.01,0.03,0.01,
0.062,0.27,0.96,-0.21,-0.01,0.03,0.01,
0.069,0.27,0.97,-0.21,-0.01,0.03,0.01,
0.07,0.27,0.97,-0.21,-0.01,0.03,0.01,
0.07,0.27,0.96,-0.21,-0.01,0.03,0.01,
0.07,0.27,0.97,-0.21,-0.01,0.03,0.01,
0.07,0.27,0.97,-0.21,-0.02,0.03,0.01,
0.07,0.27,0.97,-0.21,-0.02,0.03,0.01,
0.071,0.27,0.97,-0.21,-0.02,0.02,0.01,
0.071,0.27,0.97,-0.21,-0.03,0.03,0.00,
0.071,0.27,0.97,-0.21,-0.03,0.03,0.00,
0.072,0.27,0.97,-0.21,-0.02,0.02,0.01,
0.079,0.27,0.97,-0.20,-0.02,0.02,0.01,
0.079,0.27,0.97,-0.21,-0.02,0.02,0.01,
0.079,0.27,0.97,-0.20,-0.02,0.02,0.01,
0.08,0.27,0.97,-0.20,-0.02,0.01,0.00,
0.08,0.27,0.97,-0.20,-0.01,0.01,0.00,
0.08,0.27,0.97,-0.20,-0.02,0.00,0.00,
0.08,0.27,0.97,-0.20,-0.02,0.00,0.00,
0.08,0.27,0.97,-0.20,-0.02,0.00,0.00,
0.081,0.27,0.97,-0.20,-0.02,0.00,0.00,
0.081,0.27,0.97,-0.20,-0.02,-0.00,0.00,
0.108,0.27,0.97,-0.20,-0.02,-0.00,0.00,
0.108,0.27,0.97,-0.20,-0.02,-0.01,0.00,
0.108,0.27,0.97,-0.20,-0.02,-0.01,-0.00,
0.109,0.27,0.97,-0.19,-0.02,-0.01,-0.00,
0.109,0.27,0.97,-0.19,-0.02,-0.01,0.00,
0.11,0.26,0.97,-0.19,-0.02,-0.01,0.00,
0.11,0.26,0.97,-0.20,-0.02,-0.01,0.00,
0.111,0.26,0.97,-0.20,-0.02,-0.02,-0.00,
0.111,0.26,0.96,-0.20,-0.02,-0.02,-0.00,
0.111,0.26,0.97,-0.20,-0.02,-0.02,-0.00,
0.111,0.26,0.97,-0.20,-0.02,-0.02,-0.00,
0.112,0.26,0.97,-0.20,-0.02,-0.02,-0.00,
0.112,0.26,0.97,-0.20,-0.02,-0.02,-0.00,
0.112,0.26,0.97,-0.20,-0.02,-0.02,-0.00,
0.112,0.26,0.97,-0.20,-0.03,-0.03,0.00,
0.112,0.25,0.97,-0.20,-0.03,-0.03,0.00,
0.112,0.25,0.97,-0.20,-0.03,-0.03,0.00,
0.113,0.25,0.97,-0.20,-0.03,-0.02,0.00,
0.113,0.25,0.97,-0.20,-0.03,-0.02,0.00,
0.113,0.25,0.97,-0.20,-0.02,-0.03,0.01,
0.113,0.25,0.97,-0.20,-0.02,-0.03,0.01,
0.114,0.25,0.97,-0.20,-0.03,-0.03,0.01,
0.114,0.25,0.97,-0.20,-0.03,-0.03,0.01,
0.114,0.25,0.97,-0.20,-0.03,-0.03,0.01,
0.114,0.25,0.97,-0.20,-0.03,-0.03,0.01,
0.114,0.25,0.97,-0.20,-0.03,-0.03,0.01,
0.114,0.25,0.97,-0.20,-0.03,-0.03,0.01,
0.114,0.25,0.97,-0.20,-0.04,-0.03,0.01,
0.115,0.25,0.97,-0.20,-0.04,-0.03,0.02,
0.115,0.25,0.97,-0.20,-0.04,-0.03,0.01,
0.115,0.25,0.97,-0.20,-0.04,-0.03,0.01,
0.115,0.25,0.97,-0.20,-0.03,-0.03,0.02,
0.115,0.25,0.97,-0.21,-0.03,-0.03,0.02,
0.115,0.25,0.97,-0.21,-0.04,-0.03,0.02,
0.116,0.25,0.97,-0.20,-0.04,-0.03,0.02,
0.116,0.25,0.97,-0.20,-0.04,-0.03,0.02,
0.121,0.26,0.97,-0.20,-0.04,-0.03,0.02,
0.122,0.26,0.97,-0.20,-0.04,-0.03,0.02,
0.123,0.26,0.97,-0.21,-0.04,-0.03,0.02,
0.124,0.26,0.97,-0.21,-0.04,-0.04,0.02,
0.124,0.26,0.97,-0.20,-0.04,-0.04,0.02,
0.124,0.26,0.97,-0.20,-0.03,-0.04,0.02,
0.124,0.26,0.96,-0.20,-0.03,-0.04,0.02,
0.124,0.26,0.96,-0.20,-0.04,-0.04,0.02,
0.129,0.27,0.96,-0.20,-0.04,-0.04,0.02,
0.129,0.27,0.96,-0.20,-0.04,-0.05,0.02,
0.13,0.27,0.96,-0.21,-0.04,-0.05,0.02,
0.13,0.27,0.96,-0.21,-0.04,-0.05,0.02,
0.13,0.27,0.96,-0.21,-0.04,-0.05,0.02,
0.13,0.27,0.96,-0.21,-0.04,-0.05,0.02,
0.133,0.27,0.96,-0.21,-0.04,-0.05,0.02,
0.133,0.27,0.96,-0.21,-0.04,-0.06,0.02,
0.134,0.27,0.96,-0.20,-0.04,-0.06,0.02,
0.134,0.27,0.96,-0.20,-0.04,-0.06,0.02,
0.136,0.27,0.96,-0.21,-0.04,-0.06,0.02,
0.136,0.27,0.96,-0.21,-0.03,-0.06,0.01,
0.142,0.27,0.96,-0.20,-0.03,-0.06,0.01,
0.143,0.27,0.96,-0.20,-0.04,-0.06,0.02,
0.143,0.27,0.96,-0.20,-0.04,-0.06,0.01,
0.143,0.27,0.96,-0.21,-0.04,-0.06,0.01,
0.145,0.27,0.96,-0.20,-0.04,-0.06,0.01,
0.145,0.27,0.96,-0.20,-0.03,-0.06,0.01,
0.145,0.27,0.96,-0.20,-0.03,-0.06,0.01,
0.145,0.27,0.96,-0.20,-0.04,-0.06,0.01,
0.147,0.27,0.96,-0.20,-0.04,-0.06,0.01,
0.147,0.27,0.96,-0.20,-0.03,-0.05,0.01,
0.15,0.27,0.96,-0.20,-0.03,-0.05,0.01,
0.15,0.27,0.96,-0.20,-0.03,-0.05,0.01,
0.152,0.27,0.96,-0.21,-0.03,-0.05,0.01,
0.152,0.27,0.96,-0.21,-0.03,-0.05,0.01,
0.159,0.27,0.95,-0.21,-0.03,-0.05,0.01,
0.16,0.27,0.95,-0.21,-0.03,-0.04,0.01,
0.16,0.27,0.96,-0.21,-0.03,-0.04,0.01,
0.16,0.27,0.96,-0.21,-0.03,-0.04,0.01,
0.16,0.27,0.95,-0.21,-0.03,-0.04,0.01,
0.16,0.27,0.95,-0.21,-0.03,-0.04,0.00,
0.16,0.27,0.95,-0.21,-0.03,-0.04,0.00,
0.16,0.27,0.95,-0.21,-0.03,-0.04,0.00,
0.161,0.27,0.96,-0.20,-0.03,-0.04,0.00,
0.161,0.27,0.96,-0.20,-0.03,-0.03,0.00,
0.163,0.27,0.95,-0.21,-0.03,-0.03,0.00,
0.163,0.27,0.95,-0.21,-0.02,-0.03,0.00,
0.164,0.27,0.95,-0.21,-0.02,-0.03,0.00,
0.165,0.27,0.95,-0.21,-0.02,-0.03,-0.00,
0.166,0.28,0.95,-0.21,-0.02,-0.03,-0.00,
0.166,0.28,0.95,-0.21,-0.02,-0.02,0.00,
0.173,0.28,0.95,-0.21,-0.02,-0.02,0.00,
0.174,0.28,0.95,-0.21,-0.02,-0.02,-0.00,
0.174,0.27,0.95,-0.20,-0.02,-0.02,-0.00,
0.174,0.27,0.95,-0.20,-0.02,-0.01,-0.00,
0.174,0.27,0.95,-0.20,-0.02,-0.02,-0.01,
0.174,0.27,0.95,-0.20,-0.02,-0.02,-0.01,
0.176,0.27,0.95,-0.20,-0.02,-0.02,-0.01,
0.176,0.27,0.95,-0.20,-0.02,-0.01,-0.00,
0.178,0.27,0.95,-0.20,-0.02,-0.02,-0.01,
0.179,0.27,0.96,-0.20,-0.02,-0.02,-0.01,
0.179,0.27,0.96,-0.19,-0.02,-0.02,-0.01,
0.179,0.27,0.96,-0.19,-0.02,-0.02,-0.00,
0.181,0.26,0.96,-0.19,-0.02,-0.02,-0.00,
0.181,0.26,0.96,-0.19,-0.02,-0.02,-0.00,
0.203,0.27,0.96,-0.19,-0.02,-0.02,-0.00,
0.203,0.27,0.96,-0.19,-0.01,-0.02,-0.01,
0.204,0.27,0.96,-0.19,-0.01,-0.02,-0.01,
0.204,0.27,0.96,-0.18,-0.01,-0.02,-0.01,
0.204,0.27,0.96,-0.19,-0.01,-0.02,-0.01,
0.204,0.26,0.96,-0.19,-0.01,-0.02,-0.01,
0.204,0.26,0.96,-0.19,-0.01,-0.02,-0.00,
0.204,0.26,0.96,-0.19,-0.00,-0.02,-0.01,
0.205,0.26,0.96,-0.19,-0.00,-0.02,-0.01,
0.205,0.26,0.96,-0.19,-0.00,-0.02,-0.01,
0.205,0.26,0.96,-0.19,0.00,-0.01,-0.00,
0.205,0.26,0.96,-0.19,0.00,-0.01,-0.00,
0.205,0.26,0.96,-0.20,0.00,-0.01,-0.00,
0.206,0.26,0.96,-0.20,0.00,-0.01,-0.01,
0.206,0.26,0.96,-0.19,0.00,-0.01,-0.01,
0.206,0.26,0.96,-0.19,0.01,-0.01,-0.00,
0.206,0.27,0.96,-0.21,0.01,-0.01,-0.00,
0.206,0.27,0.96,-0.21,0.01,-0.01,-0.01,
0.206,0.27,0.96,-0.21,0.00,0.00,-0.01,
0.207,0.27,0.96,-0.21,0.00,0.00,-0.01,
0.207,0.27,0.96,-0.22,0.00,0.00,-0.01,
0.207,0.27,0.95,-0.22,0.00,0.00,-0.01,
0.207,0.27,0.95,-0.22,0.00,0.00,-0.00,
0.207,0.27,0.95,-0.22,0.00,0.00,-0.01,
0.208,0.27,0.95,-0.22,0.00,0.01,-0.01,
0.208,0.27,0.96,-0.22,0.00,0.01,-0.01,
0.21,0.27,0.96,-0.22,0.00,0.01,-0.01,
0.211,0.27,0.96,-0.22,-0.01,0.01,-0.01,
0.211,0.27,0.96,-0.22,-0.01,0.01,-0.01,
0.211,0.27,0.96,-0.22,-0.01,0.01,-0.01,
0.218,0.27,0.96,-0.22,-0.01,0.01,-0.01,
0.218,0.27,0.96,-0.22,-0.02,0.01,-0.01,
0.218,0.26,0.96,-0.21,-0.02,0.01,-0.01,
0.218,0.26,0.96,-0.21,-0.01,0.01,-0.01,
0.218,0.26,0.96,-0.21,-0.02,0.01,-0.01,
0.218,0.27,0.96,-0.21,-0.02,0.01,-0.01,
0.22,0.26,0.96,-0.21,-0.02,0.01,-0.01,
0.221,0.26,0.96,-0.21,-0.03,0.01,-0.01,
0.222,0.26,0.96,-0.21,-0.03,0.01,-0.01,
0.223,0.26,0.96,-0.21,-0.02,0.01,-0.01,
0.224,0.26,0.97,-0.20,-0.02,0.01,-0.01,
0.225,0.26,0.97,-0.20,-0.02,0.01,-0.01,
0.228,0.26,0.96,-0.20,-0.02,0.01,-0.01,
0.229,0.26,0.96,-0.20,-0.03,0.02,-0.01,
0.23,0.26,0.96,-0.20,-0.03,0.02,-0.01,
0.23,0.26,0.96,-0.20,-0.03,0.02,-0.01,
0.231,0.26,0.96,-0.20,-0.03,0.02,-0.02,
0.232,0.26,0.96,-0.20,-0.03,0.02,-0.02,
0.233,0.26,0.96,-0.20,-0.03,0.02,-0.02,
0.233,0.26,0.96,-0.21,-0.03,0.02,-0.02,
0.233,0.26,0.96,-0.20,-0.03,0.02,-0.02,
0.234,0.26,0.96,-0.20,-0.04,0.03,-0.02,
0.236,0.26,0.96,-0.21,-0.04,0.03,-0.02,
0.236,0.26,0.96,-0.21,-0.04,0.04,-0.02,
0.236,0.26,0.96,-0.21,-0.04,0.04,-0.02,
0.238,0.26,0.96,-0.21,-0.04,0.04,-0.02,
0.243,0.27,0.96,-0.21,-0.04,0.04,-0.02,
0.243,0.27,0.96,-0.21,-0.04,0.04,-0.02,
0.253,0.26,0.96,-0.21,-0.04,0.04,-0.02,
0.254,0.26,0.96,-0.21,-0.04,0.04,-0.02,
0.254,0.27,0.96,-0.21,-0.04,0.04,-0.02,
0.254,0.27,0.96,-0.21,-0.04,0.04,-0.02,
0.254,0.27,0.96,-0.21,-0.04,0.04,-0.02,
0.254,0.27,0.96,-0.21,-0.04,0.04,-0.02,
0.255,0.27,0.96,-0.21,-0.04,0.04,-0.02,
0.255,0.27,0.96,-0.21,-0.04,0.04,-0.02,
0.255,0.27,0.96,-0.21,-0.04,0.04,-0.02,
0.255,0.27,0.96,-0.21,-0.05,0.04,-0.02,
0.255,0.27,0.96,-0.21,-0.05,0.04,-0.02,
0.256,0.27,0.96,-0.21,-0.05,0.03,-0.02,
0.256,0.27,0.97,-0.21,-0.05,0.03,-0.02,
0.256,0.27,0.97,-0.21,-0.05,0.02,-0.02,
0.259,0.26,0.97,-0.20,-0.05,0.02,-0.02,
0.259,0.26,0.97,-0.20,-0.05,0.02,-0.02,
0.259,0.26,0.97,-0.20,-0.05,0.02,-0.02,
0.261,0.26,0.97,-0.19,-0.05,0.02,-0.02,
0.263,0.26,0.97,-0.19,-0.05,0.02,-0.02,
0.263,0.26,0.97,-0.19,-0.05,0.02,-0.02,
0.263,0.26,0.97,-0.19,-0.04,0.01,-0.02,
0.263,0.26,0.97,-0.19,-0.04,0.00,-0.02,
0.264,0.26,0.97,-0.19,-0.04,0.00,-0.02,
0.264,0.26,0.97,-0.19,-0.03,0.00,-0.02,
0.267,0.25,0.97,-0.18,-0.03,0.00,-0.02,
0.268,0.25,0.97,-0.18,-0.04,-0.00,-0.02,
0.268,0.26,0.97,-0.18,-0.04,-0.00,-0.02,
0.268,0.26,0.97,-0.18,-0.03,-0.00,-0.02,
0.268,0.25,0.97,-0.18,-0.03,-0.00,-0.02,
0.27,0.25,0.97,-0.18,-0.03,-0.01,-0.02,
0.276,0.25,0.97,-0.18,-0.03,-0.01,-0.02,
0.276,0.25,0.97,-0.18,-0.03,-0.01,-0.02,
0.279,0.26,0.97,-0.18,-0.03,-0.01,-0.02,
0.279,0.25,0.97,-0.18,-0.03,-0.01,-0.02,
0.28,0.25,0.97,-0.18,-0.02,-0.01,-0.01,
0.28,0.25,0.97,-0.18,-0.02,-0.02,-0.01,
0.28,0.25,0.97,-0.18,-0.02,-0.02,-0.02,
0.28,0.26,0.97,-0.18,-0.02,-0.02,-0.02,
0.282,0.26,0.97,-0.18,-0.02,-0.02,-0.02,
0.282,0.26,0.97,-0.18,-0.02,-0.02,-0.01,
0.282,0.26,0.97,-0.19,-0.02,-0.02,-0.01,
0.283,0.26,0.97,-0.19,-0.02,-0.03,-0.01,
0.301,0.26,0.97,-0.18,-0.02,-0.03,-0.01,
0.302,0.26,0.97,-0.18,-0.01,-0.03,-0.01,
0.302,0.26,0.97,-0.19,-0.01,-0.03,-0.01,
0.302,0.26,0.97,-0.19,-0.01,-0.03,-0.01,
0.302,0.26,0.97,-0.18,-0.01,-0.03,-0.01,
0.302,0.26,0.97,-0.18,-0.01,-0.04,-0.01,
0.303,0.26,0.97,-0.18,-0.01,-0.04,-0.00,
0.303,0.26,0.97,-0.19,-0.01,-0.04,-0.00,
0.303,0.26,0.97,-0.19,-0.01,-0.04,-0.00,
0.303,0.26,0.97,-0.19,-0.01,-0.04,-0.00,
0.303,0.26,0.97,-0.19,-0.01,-0.04,-0.00,
0.304,0.26,0.97,-0.19,-0.01,-0.04,-0.00,
0.304,0.25,0.97,-0.19,-0.01,-0.04,-0.00,
0.304,0.25,0.97,-0.19,-0.01,-0.04,-0.01,
0.304,0.25,0.97,-0.19,-0.01,-0.04,-0.01,
0.304,0.25,0.97,-0.19,-0.01,-0.05,-0.00,
0.305,0.25,0.97,-0.19,-0.01,-0.05,-0.00,
0.305,0.25,0.97,-0.19,-0.01,-0.04,-0.00,
0.305,0.25,0.97,-0.19,-0.01,-0.04,-0.00,
0.305,0.25,0.97,-0.19,-0.01,-0.05,0.00,
0.305,0.26,0.97,-0.19,-0.01,-0.05,0.00,
0.306,0.26,0.97,-0.19,-0.01,-0.05,0.00,
0.309,0.26,0.97,-0.18,-0.01,-0.05,0.00,
0.309,0.26,0.97,-0.19,-0.01,-0.05,0.00,
0.309,0.26,0.97,-0.19,-0.01,-0.05,0.00,
0.309,0.26,0.97,-0.19,-0.02,-0.05,0.00,
0.311,0.27,0.97,-0.19,-0.02,-0.05,0.00,
0.311,0.27,0.97,-0.19,-0.02,-0.05,0.00,
0.311,0.27,0.97,-0.19,-0.02,-0.05,0.00,
0.311,0.27,0.97,-0.18,-0.02,-0.05,0.00,
0.313,0.27,0.97,-0.18,-0.02,-0.05,0.00,
0.313,0.27,0.97,-0.18,-0.01,-0.05,0.00,
0.317,0.27,0.97,-0.18,-0.01,-0.06,0.00,
0.317,0.28,0.97,-0.18,-0.01,-0.06,0.00,
0.317,0.28,0.97,-0.18,-0.01,-0.06,0.00,
0.317,0.28,0.97,-0.17,-0.01,-0.06,0.00,
0.324,0.28,0.97,-0.18,-0.01,-0.06,0.00,
0.324,0.28,0.97,-0.18,-0.01,-0.06,0.00,
0.324,0.28,0.96,-0.18,-0.01,-0.06,0.00,
0.324,0.28,0.96,-0.18,-0.01,-0.06,0.01,
0.324,0.28,0.96,-0.18,-0.01,-0.06,0.00,
0.325,0.28,0.96,-0.18,-0.01,-0.06,0.00,
0.325,0.28,0.96,-0.18,-0.00,-0.06,0.00,
0.325,0.28,0.97,-0.19,-0.00,-0.06,0.00,
0.327,0.28,0.97,-0.18,-0.00,-0.06,0.00,
0.328,0.28,0.97,-0.18,-0.00,-0.06,-0.00,
0.329,0.28,0.97,-0.19,-0.00,-0.06,-0.00,
0.329,0.28,0.97,-0.19,0.00,-0.06,-0.00,
0.333,0.28,0.97,-0.19,0.00,-0.06,-0.00,
0.333,0.28,0.97,-0.19,0.00,-0.06,-0.00,
0.333,0.27,0.97,-0.20,0.00,-0.06,-0.00,
0.334,0.27,0.97,-0.20,0.00,-0.05,-0.00,
0.34,0.27,0.97,-0.19,0.00,-0.05,-0.00,
0.34,0.27,0.97,-0.20,0.00,-0.05,-0.00,
0.341,0.27,0.97,-0.20,0.00,-0.05,-0.00,
0.341,0.27,0.97,-0.20,-0.00,-0.05,-0.00,
0.341,0.27,0.97,-0.20,0.00,-0.04,-0.00,
0.341,0.27,0.97,-0.20,0.01,-0.03,-0.00,
0.346,0.26,0.97,-0.20,0.01,-0.03,-0.00,
0.346,0.26,0.97,-0.20,0.01,-0.03,-0.00,
0.346,0.26,0.97,-0.20,0.01,-0.03,-0.00,
0.346,0.26,0.97,-0.20,0.00,-0.02,-0.00,
0.347,0.26,0.97,-0.20,-0.00,-0.02,0.00,
0.347,0.26,0.97,-0.20,0.01,-0.01,0.00,
0.349,0.26,0.97,-0.20,0.01,-0.01,0.00,
0.35,0.26,0.97,-0.20,0.01,-0.01,-0.00,
0.35,0.26,0.97,-0.20,0.01,-0.01,-0.00,
0.35,0.26,0.97,-0.20,0.01,-0.01,0.00,
0.35,0.26,0.97,-0.20,0.01,-0.01,0.00,
0.35,0.26,0.97,-0.20,0.01,-0.00,-0.00,
0.352,0.26,0.97,-0.20,0.01,-0.00,-0.00,
0.353,0.26,0.97,-0.20,0.00,0.00,0.00,
0.354,0.26,0.97,-0.20,0.00,0.01,0.00,
0.354,0.26,0.97,-0.20,0.00,0.01,0.00,
0.359,0.26,0.97,-0.20,0.00,0.01,0.00,
0.359,0.26,0.97,-0.20,0.01,0.02,0.00,
0.363,0.26,0.97,-0.20,0.01,0.02,0.00,
0.364,0.25,0.97,-0.20,0.01,0.02,0.00,
0.364,0.25,0.97,-0.20,0.00,0.02,0.00,
0.364,0.25,0.97,-0.20,-0.00,0.03,0.01,
0.364,0.25,0.97,-0.20,-0.01,0.03,0.00,
0.365,0.26,0.97,-0.20,-0.01,0.03,0.00,
0.368,0.26,0.97,-0.20,-0.00,0.03,0.01,
0.368,0.26,0.97,-0.20,-0.00,0.04,0.01,
0.368,0.25,0.97,-0.20,-0.00,0.04,0.01,
0.369,0.25,0.97,-0.19,-0.00,0.04,0.01,
0.369,0.25,0.97,-0.19,-0.01,0.03,0.01,
0.369,0.25,0.97,-0.19,-0.01,0.03,0.01,
0.371,0.25,0.97,-0.19,-0.01,0.03,0.01,
0.371,0.25,0.97,-0.19,-0.01,0.04,0.01,
0.373,0.25,0.97,-0.19,-0.01,0.04,0.01,
0.373,0.25,0.97,-0.19,-0.01,0.03,0.01,
0.376,0.26,0.97,-0.19,-0.01,0.03,0.01,
0.376,0.26,0.97,-0.19,-0.01,0.03,0.01,
0.382,0.25,0.97,-0.19,-0.01,0.03,0.01,
0.382,0.25,0.97,-0.19,-0.01,0.03,0.01,
0.382,0.26,0.97,-0.19,-0.01,0.03,0.01,
0.382,0.26,0.97,-0.19,-0.01,0.03,0.01,
0.383,0.26,0.97,-0.19,-0.02,0.03,0.01,
0.383,0.26,0.97,-0.19,-0.01,0.03,0.01,
0.405,0.26,0.97,-0.20,-0.01,0.03,0.01,
0.405,0.26,0.97,-0.20,-0.01,0.03,0.01,
0.405,0.25,0.97,-0.20,-0.01,0.03,0.01,
0.406,0.25,0.97,-0.20,-0.01,0.03,0.01,
0.406,0.25,0.97,-0.20,-0.02,0.03,0.01,
0.406,0.25,0.97,-0.20,-0.02,0.03,0.01,
0.406,0.25,0.97,-0.20,-0.02,0.03,0.01,
0.406,0.25,0.97,-0.20,-0.02,0.03,0.02,
0.406,0.25,0.97,-0.20,-0.02,0.03,0.02,
0.407,0.25,0.97,-0.19,-0.02,0.03,0.02,
0.407,0.25,0.97,-0.19,-0.01,0.03,0.02,
0.407,0.25,0.97,-0.19,-0.02,0.03,0.01,
0.407,0.25,0.97,-0.20,-0.02,0.03,0.01,
0.407,0.25,0.97,-0.20,-0.01,0.03,0.02,
0.407,0.26,0.97,-0.20,-0.01,0.03,0.02,
0.408,0.26,0.97,-0.20,-0.02,0.02,0.02,
0.408,0.26,0.97,-0.20,-0.02,0.03,0.02,
0.408,0.26,0.97,-0.19,-0.02,0.03,0.02,
0.408,0.26,0.97,-0.19,-0.02,0.03,0.02,
0.408,0.26,0.97,-0.19,-0.02,0.02,0.02,
0.408,0.26,0.97,-0.19,-0.01,0.03,0.02,
0.409,0.26,0.97,-0.19,-0.01,0.03,0.02,
0.409,0.26,0.97,-0.19,-0.01,0.03,0.02,
0.409,0.26,0.97,-0.19,-0.02,0.02,0.02,
0.409,0.26,0.96,-0.19,-0.02,0.02,0.02,
0.409,0.26,0.96,-0.19,-0.01,0.02,0.02,
0.413,0.26,0.96,-0.18,-0.01,0.02,0.02,
0.414,0.26,0.96,-0.19,-0.01,0.02,0.02,
0.414,0.26,0.96,-0.19,-0.01,0.02,0.02,
0.414,0.26,0.96,-0.19,-0.01,0.02,0.02,
0.414,0.26,0.96,-0.18,-0.01,0.02,0.02,
0.414,0.26,0.96,-0.18,-0.01,0.02,0.02,
0.415,0.26,0.96,-0.18,-0.00,0.02,0.03,
0.415,0.26,0.96,-0.18,0.00,0.02,0.02,
0.417,0.27,0.96,-0.19,0.00,0.02,0.02,
